SupplierName,Powwr ID,Status,Type,Logo
ABC,ABC-001-S,,,
Affect Energy,AFFECTEN-001-S,,,
AMPOWER,AMPOWER-001-S,,,
Atlantic,ATLANTIC-001-S,,,
Avanti Gas,AVANTIGA-001-S,,,
Axis,AXIS-001-S,,,
BES Utilities,BESUTILS-001-S,1,B,bes-utilities.png
Bizz Energy,BIZZENER-001-S,,,
Bristol Energy,BRISTOLE-001-S,,,
British Gas Business,BRITISHG-001-S,1,B,british-gas.png
British Gas Lite,BRITISHG-002-S,1,B,british-gas-lite.png
British Gas Plus,BRITISHG-003-S,1,E,british-gas.png
Brook Green,BROOKGRE-001-S,,,
Bryt Energy,BRYTENER-001-S,,,
BTC,BTC-001-S,,,
Bulb Energy,BULBENER-001-S,,,
Business Power and Gas Limited,BPANDGAS-001-S,,,
Caboodle Energy Ltd,CABOODLE-001-S,,,
Clear Business,CLEARBUS-001-S,,,
CNG,CNG-001-S,,,
Co-operative Energy,COOPERAT-001-S,,,
Corona Energy,CORONAEN-001-S,1,B,corona.png
Countrywide Farmers,COUNTRYW-001-S,,,
Crown Gas & Power,CROWNGAS-001-S,,,
DC Utilities,DCUTILIT-001-S,,,
DemoSupplier,DEMOSUPP-001-S,,,
D-Energi,DENERGI-001-S,,,
Dual Energy,DUALENER-001-S,,,
Dyce,DYCE-001-S,,,
E.ON Energy,EONENERG-001-S,,,
E.ON Next,EONNEXT-001-S,,,
E4B,E4B-001-S,,,
Ecotricity,ECOTRICI-001-S,,,
EDF,EDF-001-S,1,B,edf-energy.png
Electricity Plus Supply,EPLUSSUP-001-S,,,
ELF,ELF-001-S,,,
Energy for Business,ENGFORBU-001-S,,,
Engie,ENGIE-001-S,1,B,engie.png
Enterprise Energy,ENTERPRI-001-S,,,
E-ON,EON-001-S,,,
E-ON Next,EONNEXT-002-S,1,B,e-on-next.png
Extra Energy,EXTRAENG-001-S,,,
F&S Energy,FSENERGY-001-S,,,
First Utility,FIRSTUTI-001-S,,,
Flogas,FLOGAS-001-S,,,
Forward Connections,FORWARDC-001-S,,,
Gazprom,GAZPROM-001-S,1,G,
GB Energy,GBENERGY-001-S,,,
GDF,GDF-001-S,,,
Good Energy,GOODENER-001-S,,,
Green Network Energy,GREENNET-002-S,,,
Green Network Energy (GNE),GREENNET-001-S,,,
Gulf Gas and Power,GULFGAND-001-S,,,
Haven,HAVEN-001-S,,,
Hudson Energy,HUDSONEN-001-S,,,
Hudson Energy,HUDSONEN-002-S,,,
iSupplyEnergy,ISUPPLYE-001-S,,,
LoCO2,LOCO2-001-S,,,
Logicor Energy,LOGICORE-001-S,,,
MA Energy,MAENERGY-001-S,,,
Marble Power,MARBLEPW-001-S,,,
National Gas,NATIONAL-001-S,,,
Niccolo,NICCOLO-001-S,,,
Npower,NPOWER-001-S,,,
Octopus,OCTOPUS-001-S,,,
Opal,OPAL-001-S,,,
Opal Gas,OPALGAS-001-S,,,
Opus,OPUS-001-S,1,E,opus.png
Orsted,ORSTED-001-S,,,
Osso Gas,OSSOGAS-001-S,,,
Other Supplier,OTHERSUP-001-S,,,
OVO,OVO-001-S,,,
PFP Energy,PFPENERG-001-S,,,
Portal Base,PORTALBA-001-S,,,
POWWR,POWWR-001-S,,,
Pozitive,POZITIVE-001-S,,,
Pure Planet,PUREPLAN-001-S,,,
Regent Gas,REGENTGA-001-S,,,
Robin Hood Energy,ROBINHOO-001-S,,,
SB Energy,SBENERGY-001-S,,,
Scottish Gas,SCOTTISH-002-S,1,B,
Scottish Power,SCOTTISH-001-S,,,
Scottish Power I&C,SCOTTISH-003-S,,,
Shell Gas Direct,SHELLGDI-001-S,,,
Shipperless,SHIPPERL-001-S,,,
Simple Gas & Power,SIMPLEGP-001-S,,,
Sinq Power,SINQPOWE-001-S,,,
Smartest Energy,SMARTEST-001-S,1,B,
Southbay Energy,SOUTHBAY-001-S,,,
Southern Electric,SOUTHERN-001-S,1,B,
Squeaky Clean Energy,SQUEAKYC-001-S,,,
SSE,SSE-001-S,,,
TEG,TEG-001-S,,,
Tegs,TEGS-001-S,,,
Tonik Energy,TONIKENG-001-S,,,
Total Energy,TOTALENG-001-S,1,B,
Total Gas and Power (TGP),TOTALGAN-001-S,1,E,
uez,UEZ-001-S,,,
UK Gas Supply,UKGSUPPL-001-S,,,
United Gas & Power (UGP),UNITEDGP-001-S,,,
Utilita,UTILITA-001-S,1,B,utilita.png
Utility Warehouse,UWAREHOU-001-S,,,
Valda Energy,VALDAENE-001-S,,,
Valda Energy,VALDAENG-001-S,,,
Water Plus,WATERPLU-001-S,,,
WaterPlus,WATERPLU-002-S,,,
Wingas,WINGAS-001-S,,,
Xcel Energy,XCELENER-001-S,,,
Yorkshire Gas and Power,YORKSHIR-001-S,1,B,
Yu Energy,YUENERGY-001-S,1,B,
